subject,predicate,object
http://www.wikidata.org/entity/Q64577033,http://schema.org/name,6 June 2019 demonstration against extradition bill
http://www.wikidata.org/entity/Q65315561,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q64509602
http://www.wikidata.org/entity/Q65561121,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q898830
http://www.wikidata.org/entity/Q66364467,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q148
http://www.wikidata.org/entity/Q66364431,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q148
http://www.wikidata.org/entity/Q65561121,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q148
http://www.wikidata.org/entity/Q65974985,http://schema.org/name,28 July 2019 Hong Kong anti-extradition bill protest
http://www.wikidata.org/entity/Q65312929,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q8646
http://www.wikidata.org/entity/Q65115370,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q239143
http://www.wikidata.org/entity/Q64576952,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q8646
http://www.wikidata.org/entity/Q65070797,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q64509602
http://www.wikidata.org/entity/Q66183788,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q8646
http://www.wikidata.org/entity/Q66364431,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q8646
http://www.wikidata.org/entity/Q65312873,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q64509602
http://www.wikidata.org/entity/Q65312841,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q175331
http://www.wikidata.org/entity/Q66102753,http://schema.org/name,"30 July 2019 Kwai Chung, Hong Kong anti-extradition bill protest"
http://www.wikidata.org/entity/Q65312873,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q5124493
http://www.wikidata.org/entity/Q65115370,http://schema.org/name,7 July 2019 Hong Kong anti-extradition bill protest
http://www.wikidata.org/entity/Q65070797,http://schema.org/name,July 2019 Restoration of Tuen Mun Park
http://www.wikidata.org/entity/Q66102753,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q591960
http://www.wikidata.org/entity/Q65115370,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q148
http://www.wikidata.org/entity/Q66364431,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q66208380
http://www.wikidata.org/entity/Q66364443,http://schema.org/name,Q66364443
http://www.wikidata.org/entity/Q65312841,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q64509602
http://www.wikidata.org/entity/Q65061408,http://schema.org/name,Rupert Dover
http://www.wikidata.org/entity/Q66208380,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q66364431
http://www.wikidata.org/entity/Q64576952,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q175331
http://www.wikidata.org/entity/Q66183788,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q175331
http://www.wikidata.org/entity/Q66364454,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q148
http://www.wikidata.org/entity/Q64509602,http://schema.org/name,2019–2020 Hong Kong protests
http://www.wikidata.org/entity/Q65974985,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q180684
http://www.wikidata.org/entity/Q66364467,http://schema.org/name,4 August 2019 Hong Kong anti-extradition bill protest in Western District
http://www.wikidata.org/entity/Q65315561,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q148
http://www.wikidata.org/entity/Q69394927,http://schema.org/name,Lau Chak Kei
http://www.wikidata.org/entity/Q65561121,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q15305004
http://www.wikidata.org/entity/Q66183788,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q64509602
http://www.wikidata.org/entity/Q66102753,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q69394927
http://www.wikidata.org/entity/Q66102753,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q64509602
http://www.wikidata.org/entity/Q65070797,http://schema.org/relatedEntity,http://www.wikidata.org/entity/Q898830
http://www.wikidata.org/entity/Q148,http://schema.org/name,People's Republic of China
